CamCarcacas2;
2026-07-07 00:00;2026-07-08 00:00;
12144 Frigorífico Thoms;
ayron.costa;
" ";CPCO 51 - Câmara de carcaças - Controle de temperatura 1;CPCO 51 - Câmara de carcaças - Controle de temperatura 1;CPCO 51 - Câmara de carcaças - Controle de temperatura 1;CPCO 51 - Câmara de carcaças - Controle de temperatura 1;CPCO 51 - Câmara de carcaças - Controle de temperatura 1;CPCO 51 - Câmara de carcaças - Controle de temperatura 1;CPCO 52 - Câmara de carcaças - Controle de temperatura 2;CPCO 52 - Câmara de carcaças - Controle de temperatura 2;CPCO 53 - Balança;CPCO 51 - Câmara de carcaças - Controle de temperatura 1;CPCO 51 - Câmara de carcaças - Controle de temperatura 1;CPCO 51 - Câmara de carcaças - Controle de temperatura 1;CPCO 51 - Câmara de carcaças - Controle de temperatura 1;CPCO 54 - Câmara de carcaças - Controle de temperatura 3;
" ";Carregamento;Resfriamento;Saida Y1 - Ventiladores EC;Temp entrada glicol;Temp ref;Temp retorno ar;Temperatuda espeto;Umidade relativa da camara;Peso atual;DT Atual;DT ref;Cap Atual Valvula;Temp retorno ar M1A08;Temp Insuf de ar M1A08;" ";
2026-07-07 00:00:00.0;OFF;ON;90;0,50;0,80;4,30;15,90;95,10;113;3,80;3,50;55,20;4,10;3,20;
2026-07-07 00:01:00.0;OFF;ON;90;0,80;0,80;4,30;15,90;95,10;113;3,60;3,50;56,60;4,10;3,20;
2026-07-07 00:02:00.0;OFF;ON;90;0,60;0,80;4,30;15,90;95,20;113;3,70;3,50;55,30;4,10;3,20;
2026-07-07 00:03:00.0;OFF;ON;90;1,40;0,80;4,30;15,80;95,20;113;2,90;3,50;60,60;4,10;3,20;
2026-07-07 00:04:00.0;OFF;ON;90;1;0,80;4,30;15,80;95,20;113;3,40;3,50;58,30;4,10;3,30;
2026-07-07 00:05:00.0;OFF;ON;90;1,20;0,90;4,40;15,80;95,60;113;3,20;3,50;59,70;4,10;3,40;
2026-07-07 00:06:00.0;OFF;ON;90;1,70;0,90;4,40;15,70;95,60;113;2,60;3,50;64,70;4,20;3,50;
2026-07-07 00:07:00.0;OFF;ON;90;1,20;1;4,50;15,70;95,90;113;3,20;3,50;62,30;4,20;3,60;
2026-07-07 00:08:00.0;OFF;ON;90;1,20;1;4,50;15,70;96;113;3,30;3,50;63;4,30;3,70;
2026-07-07 00:09:00.0;OFF;ON;90;1,30;1;4,50;15,60;96;113;3,20;3,50;63,70;4,30;3,60;
2026-07-07 00:10:00.0;OFF;ON;90;1,60;1;4,50;15,60;96;113;2,90;3,50;66,20;4,20;3,60;
2026-07-07 00:11:00.0;OFF;ON;90;1,10;1;4,50;15,60;95,90;113;3,40;3,50;63,60;4,20;3,60;
2026-07-07 00:12:00.0;OFF;ON;90;1,10;1;4,50;15,60;96;113;3,40;3,50;64,10;4,20;3,50;
2026-07-07 00:13:00.0;OFF;ON;90;1,70;0,90;4,40;15,50;95,90;113;2,80;3,50;68,80;4,20;3,50;
2026-07-07 00:14:00.0;OFF;ON;90;1,10;0,90;4,40;15,50;95,90;113;3,30;3,50;66,20;4,20;3,60;
2026-07-07 00:15:00.0;OFF;ON;90;1;0,90;4,40;15,50;95,90;113;3,40;3,50;66,40;4,20;3,60;
2026-07-07 00:16:00.0;OFF;ON;90;1;0,90;4,40;15,40;95,90;113;3,40;3,50;66;4,20;3,50;
2026-07-07 00:17:00.0;OFF;ON;90;0,50;0,90;4,40;15,40;95,60;113;3,90;3,50;62,40;4,10;3,40;
2026-07-07 00:18:00.0;OFF;ON;90;0,30;0,80;4,30;15,40;95,60;113;4,10;3,50;60,70;4,10;3,20;
2026-07-07 00:19:00.0;OFF;ON;90;0,20;0,70;4,20;15,30;95,10;113;4;3,50;59,60;4;3,10;
2026-07-07 00:20:00.0;OFF;ON;90;0,20;0,60;4,10;15,30;94,90;113;3,90;3,50;59,50;3,90;3;
2026-07-07 00:21:00.0;OFF;ON;90;0,20;0,60;4,10;15,30;94,90;113;3,90;3,50;59;3,80;2,90;
