CamCarcacas2;
2026-06-06 00:00;2026-06-07 00:00;
12144 Frigorífico Thoms;
ayron.costa;
" ";CPCO 51 - Câmara de carcaças - Controle de temperatura 1;CPCO 51 - Câmara de carcaças - Controle de temperatura 1;CPCO 51 - Câmara de carcaças - Controle de temperatura 1;CPCO 51 - Câmara de carcaças - Controle de temperatura 1;CPCO 51 - Câmara de carcaças - Controle de temperatura 1;CPCO 51 - Câmara de carcaças - Controle de temperatura 1;CPCO 52 - Câmara de carcaças - Controle de temperatura 2;CPCO 52 - Câmara de carcaças - Controle de temperatura 2;CPCO 53 - Balança;CPCO 51 - Câmara de carcaças - Controle de temperatura 1;CPCO 51 - Câmara de carcaças - Controle de temperatura 1;CPCO 51 - Câmara de carcaças - Controle de temperatura 1;CPCO 51 - Câmara de carcaças - Controle de temperatura 1;CPCO 54 - Câmara de carcaças - Controle de temperatura 3;
" ";Carregamento;Resfriamento;Saida Y1 - Ventiladores EC;Temp entrada glicol;Temp ref;Temp retorno ar;Temperatuda espeto;Umidade relativa da camara;Peso atual;DT Atual;DT ref;Cap Atual Valvula;Temp retorno ar M1A08;Temp Insuf de ar M1A08;" ";
2026-06-06 00:00:00.0;OFF;ON;100;-3,60;-4;0,40;11,20;94,10;109,90;4;9,50;99,30;0,30;-0,60;
2026-06-06 00:01:00.0;OFF;ON;100;-3,50;-4;0,40;11,10;94,10;109,90;3,90;9,50;100;0,30;-0,60;
2026-06-06 00:02:00.0;OFF;ON;100;-3,50;-4;0,40;11,10;94,10;109,90;3,90;9,50;99,70;0,30;-0,60;
2026-06-06 00:03:00.0;OFF;ON;100;-3,40;-4;0,40;11;94,10;109,90;3,80;9,50;100;0,30;-0,60;
2026-06-06 00:04:00.0;OFF;ON;100;-3,60;-4;0,40;11;94,10;109,90;4;9,50;99,40;0,30;-0,60;
2026-06-06 00:05:00.0;OFF;ON;100;-3,50;-4;0,40;11;94,20;109,90;3,90;9,50;99,60;0,20;-0,60;
2026-06-06 00:06:00.0;OFF;ON;100;-3,50;-4;0,40;10,90;94,20;109,90;3,90;9,50;99,40;0,20;-0,60;
2026-06-06 00:07:00.0;OFF;ON;100;-3,40;-4;0,40;10,90;94,10;109,90;3,80;9,50;99,60;0,30;-0,60;
2026-06-06 00:08:00.0;OFF;ON;100;-3,50;-4;0,30;10,90;94,10;109,90;3,90;9,50;99,20;0,20;-0,60;
2026-06-06 00:09:00.0;OFF;ON;100;-3,50;-4;0,30;10,80;94,20;109,90;3,80;9,50;99,70;0,20;-0,60;
2026-06-06 00:10:00.0;OFF;ON;100;-3,50;-4;0,30;10,80;94,20;109,90;3,80;9,50;99,70;0,20;-0,60;
2026-06-06 00:11:00.0;OFF;ON;100;-3,50;-4;0,30;10,80;94,10;109,90;3,80;9,50;99,40;0,20;-0,60;
2026-06-06 00:12:00.0;OFF;ON;100;-3,60;-4;0,30;10,70;94,20;109,90;3,90;9,50;99,50;0,20;-0,60;
2026-06-06 00:13:00.0;OFF;ON;100;-3,50;-4;0,30;10,70;94,20;109,90;3,80;9,50;99,70;0,20;-0,60;
2026-06-06 00:14:00.0;OFF;ON;100;-3,50;-4;0,30;10,70;94,10;109,90;3,80;9,50;99,60;0,10;-0,60;
2026-06-06 00:15:00.0;OFF;ON;100;-3,50;-4;0,30;10,60;94,20;109,90;3,80;9,50;99,70;0,20;-0,60;
2026-06-06 00:16:00.0;OFF;ON;100;-3,50;-4;0,30;10,60;94,10;109,90;3,80;9,50;99,50;0,20;-0,60;
2026-06-06 00:17:00.0;OFF;ON;100;-3,50;-4;0,30;10,50;94,10;109,90;3,80;9,50;99,50;0,20;-0,60;
2026-06-06 00:18:00.0;OFF;ON;100;-3,50;-4;0,30;10,50;94;109,90;3,80;9,50;99,60;0,10;-0,60;
2026-06-06 00:19:00.0;OFF;ON;100;-3,60;-4;0,30;10,50;94,10;109,90;3,80;9,50;99,60;0,10;-0,60;
2026-06-06 00:20:00.0;OFF;ON;100;-3,40;-4;0,20;10,40;94,20;109,90;3,70;9,50;100;0,10;-0,60;
2026-06-06 00:21:00.0;OFF;ON;100;-3,50;-4;0,20;10,40;94,20;109,90;3,80;9,50;99,80;0,10;-0,60;
2026-06-06 00:22:00.0;OFF;ON;100;-3,50;-4;0,20;10,40;94,10;109,90;3,70;9,50;100;0,10;-0,70;
2026-06-06 00:23:00.0;OFF;ON;100;-3,50;-4;0,20;10,30;94,10;109,90;3,70;9,50;100;0,10;-0,70;
