CamCarcacas2;
2026-06-12 00:00;2026-06-13 00:00;
12144 Frigorífico Thoms;
ayron.costa;
" ";CPCO 51 - Câmara de carcaças - Controle de temperatura 1;CPCO 51 - Câmara de carcaças - Controle de temperatura 1;CPCO 51 - Câmara de carcaças - Controle de temperatura 1;CPCO 51 - Câmara de carcaças - Controle de temperatura 1;CPCO 51 - Câmara de carcaças - Controle de temperatura 1;CPCO 51 - Câmara de carcaças - Controle de temperatura 1;CPCO 52 - Câmara de carcaças - Controle de temperatura 2;CPCO 52 - Câmara de carcaças - Controle de temperatura 2;CPCO 53 - Balança;CPCO 51 - Câmara de carcaças - Controle de temperatura 1;CPCO 51 - Câmara de carcaças - Controle de temperatura 1;CPCO 51 - Câmara de carcaças - Controle de temperatura 1;CPCO 51 - Câmara de carcaças - Controle de temperatura 1;CPCO 54 - Câmara de carcaças - Controle de temperatura 3;
" ";Carregamento;Resfriamento;Saida Y1 - Ventiladores EC;Temp entrada glicol;Temp ref;Temp retorno ar;Temperatuda espeto;Umidade relativa da camara;Peso atual;DT Atual;DT ref;Cap Atual Valvula;Temp retorno ar M1A08;Temp Insuf de ar M1A08;" ";
2026-06-12 00:00:00.0;OFF;ON;100;-2,10;-3;0,50;9,40;94,90;100,30;2,60;3,50;78,70;0,40;-0,20;
2026-06-12 00:01:00.0;OFF;ON;100;-3,20;-2,90;0,60;9,40;95,10;100,30;3,90;3,50;71,70;0,50;0;
2026-06-12 00:02:00.0;OFF;ON;100;-3,30;-2,90;0,60;9,40;95,30;100,30;4;3,50;70,10;0,50;-0,10;
2026-06-12 00:03:00.0;OFF;ON;100;-3,50;-2,90;0,60;9,40;95,10;100,30;4;3,50;69;0,40;-0,20;
2026-06-12 00:04:00.0;OFF;ON;100;-3,80;-3;0,50;9,40;95;100,30;4,40;3,50;66,10;0,40;-0,20;
2026-06-12 00:05:00.0;OFF;ON;100;-2,50;-3;0,50;9,30;95;100,30;3,10;3,50;72,20;0,40;-0,20;
2026-06-12 00:06:00.0;OFF;ON;100;-2,50;-3,10;0,40;9,30;94,90;100,30;3;3,50;74,20;0,30;-0,30;
2026-06-12 00:07:00.0;OFF;ON;100;-2,50;-3;0,50;9,30;95;100,30;3;3,50;74,50;0,30;-0,20;
2026-06-12 00:08:00.0;OFF;ON;100;-2,20;-3;0,50;9,30;94,90;100,30;2,60;3,50;78,10;0,30;-0,30;
2026-06-12 00:09:00.0;OFF;ON;100;-3,50;-2,90;0,60;9,30;95,10;92,30;4,10;3,50;70,60;0,40;-0,10;
2026-06-12 00:10:00.0;OFF;ON;100;-3,50;-2,60;0,90;9,30;95,50;90,90;4,40;3,50;68,40;0,50;-0,10;
2026-06-12 00:11:00.0;OFF;ON;100;-3,60;-2,50;1;9,30;95,80;90,90;4,60;3,50;65,20;0,50;-0,10;
2026-06-12 00:12:00.0;OFF;ON;100;-2,10;-2,50;1;9,40;95,80;90,90;2,80;3,50;74,90;0,50;-0,10;
2026-06-12 00:13:00.0;OFF;ON;100;-2,20;-2,60;0,90;9,50;95,80;90,90;3,10;3,50;73,80;0,40;-0,20;
