CamCarcacas2;
2026-07-29 00:00;2026-07-30 00:00;
12144 Frigorífico Thoms;
ayron.costa;
" ";CPCO 51 - Câmara de carcaças - Controle de temperatura 1;CPCO 51 - Câmara de carcaças - Controle de temperatura 1;CPCO 51 - Câmara de carcaças - Controle de temperatura 1;CPCO 51 - Câmara de carcaças - Controle de temperatura 1;CPCO 51 - Câmara de carcaças - Controle de temperatura 1;CPCO 51 - Câmara de carcaças - Controle de temperatura 1;CPCO 52 - Câmara de carcaças - Controle de temperatura 2;CPCO 52 - Câmara de carcaças - Controle de temperatura 2;CPCO 53 - Balança;CPCO 51 - Câmara de carcaças - Controle de temperatura 1;CPCO 51 - Câmara de carcaças - Controle de temperatura 1;CPCO 51 - Câmara de carcaças - Controle de temperatura 1;CPCO 51 - Câmara de carcaças - Controle de temperatura 1;CPCO 54 - Câmara de carcaças - Controle de temperatura 3;
" ";Carregamento;Resfriamento;Saida Y1 - Ventiladores EC;Temp entrada glicol;Temp ref;Temp retorno ar;Temperatuda espeto;Umidade relativa da camara;Peso atual;DT Atual;DT ref;Cap Atual Valvula;Temp retorno ar M1A08;Temp Insuf de ar M1A08;" ";
2026-07-29 00:00:00.0;OFF;ON;100;-3,30;-4;-0,60;7,20;96;111,30;2,70;6;100;-0,70;-1,20;
2026-07-29 00:01:00.0;OFF;ON;100;-3,30;-4;-0,60;7,20;96;111,30;2,70;6;100;-0,70;-1,20;
2026-07-29 00:02:00.0;OFF;ON;100;-3,30;-4;-0,60;7,10;96;111,30;2,70;6;100;-0,70;-1,20;
2026-07-29 00:03:00.0;OFF;ON;100;-3,30;-4;-0,60;7,10;96;111,30;2,70;6;100;-0,70;-1,20;
2026-07-29 00:04:00.0;OFF;ON;100;-3,30;-4;-0,60;7,10;96;111,30;2,70;6;100;-0,70;-1,20;
2026-07-29 00:05:00.0;OFF;ON;100;-3,40;-4;-0,60;7,10;95,90;111,30;2,80;6;99,80;-0,70;-1,20;
2026-07-29 00:06:00.0;OFF;ON;100;-3,40;-4;-0,60;7;96;111,30;2,90;6;99,60;-0,70;-1,20;
2026-07-29 00:07:00.0;OFF;ON;100;-3,30;-4;-0,60;7;96;111,30;2,80;6;100;-0,70;-1,20;
2026-07-29 00:08:00.0;OFF;ON;100;-3,30;-4;-0,60;7;95,90;111,30;2,80;6;100;-0,70;-1,20;
2026-07-29 00:09:00.0;OFF;ON;100;-3,40;-4;-0,60;7;95,90;111,30;2,90;6;99,60;-0,70;-1,20;
2026-07-29 00:10:00.0;OFF;ON;100;-3,30;-4;-0,60;6,90;96;111,30;2,80;6;100;-0,70;-1,20;
2026-07-29 00:11:00.0;OFF;ON;100;-3,40;-4;-0,60;6,90;95,90;111,30;2,90;6;99,60;-0,80;-1,20;
2026-07-29 00:12:00.0;OFF;ON;100;-3,30;-4;-0,60;6,90;95,90;111,30;2,80;6;99,90;-0,80;-1,20;
2026-07-29 00:13:00.0;OFF;ON;100;-3,40;-4;-0,60;6,80;96;111,30;2,90;6;99,60;-0,80;-1,20;
2026-07-29 00:14:00.0;OFF;ON;100;-3,40;-4;-0,60;6,80;96;111,30;2,80;6;99,70;-0,80;-1,20;
2026-07-29 00:15:00.0;OFF;ON;100;-3,40;-4;-0,60;6,80;96;111,30;2,80;6;99,80;-0,80;-1,20;
2026-07-29 00:16:00.0;OFF;ON;100;-3,30;-4;-0,60;6,80;96;111,30;2,70;6;100;-0,80;-1,20;
2026-07-29 00:17:00.0;OFF;ON;100;-3,30;-4;-0,60;6,70;96;111,30;2,70;6;100;-0,80;-1,20;
2026-07-29 00:18:00.0;OFF;ON;100;-3,30;-4;-0,60;6,70;96;111,30;2,80;6;100;-0,80;-1,20;
2026-07-29 00:19:00.0;OFF;ON;100;-3,40;-4;-0,60;6,70;96;111,30;2,80;6;99,70;-0,80;-1,20;
2026-07-29 00:20:00.0;OFF;ON;100;-3,40;-4;-0,60;6,70;96;111,30;2,80;6;99,60;-0,80;-1,20;
2026-07-29 00:21:00.0;OFF;ON;100;-3,40;-4;-0,60;6,60;96;111,30;2,80;6;99,70;-0,80;-1,20;
2026-07-29 00:22:00.0;OFF;ON;100;-3,30;-4;-0,60;6,60;95,90;111,30;2,80;6;100;-0,80;-1,20;
2026-07-29 00:23:00.0;OFF;ON;100;-3,30;-4;-0,60;6,60;96;111,30;2,70;6;100;-0,80;-1,20;
2026-07-29 00:24:00.0;OFF;ON;100;-3,30;-4;-0,60;6,60;95,90;111,30;2,80;6;100;-0,80;-1,20;
2026-07-29 00:25:00.0;OFF;ON;100;-3,40;-4;-0,60;6,50;96;111,30;2,80;6;99,60;-0,80;-1,20;
2026-07-29 00:26:00.0;OFF;ON;100;-3,40;-4;-0,60;6,50;95,90;111,30;2,70;6;99,90;-0,80;-1,20;
2026-07-29 00:27:00.0;OFF;ON;100;-3,30;-4;-0,60;6,50;96;111,30;2,70;6;100;-0,80;-1,20;
2026-07-29 00:28:00.0;OFF;ON;100;-3,40;-4;-0,60;6,50;95,90;111,30;2,70;6;99,60;-0,80;-1,20;
2026-07-29 00:29:00.0;OFF;ON;100;-3,30;-4;-0,60;6,40;96;111,30;2,70;6;100;-0,80;-1,20;
2026-07-29 00:30:00.0;OFF;ON;100;-3,40;-4;-0,70;6,40;95,90;111,30;2,70;6;100;-0,80;-1,20;
2026-07-29 00:31:00.0;OFF;ON;100;-3,30;-4;-0,70;6,40;95,90;111,30;2,70;6;99,70;-0,80;-1,20;
2026-07-29 00:32:00.0;OFF;ON;100;-3,40;-4;-0,70;6,40;95,90;111,30;2,70;6;99,60;-0,80;-1,20;
2026-07-29 00:33:00.0;OFF;ON;100;-3,40;-4;-0,60;6,40;96,60;90,90;2,90;6;100;-0,80;-1,20;
2026-07-29 00:34:00.0;OFF;ON;100;-3,20;-4;-0,50;6,40;97;91,20;2,70;6;100;-0,80;-1,20;
2026-07-29 00:35:00.0;OFF;ON;100;-3,10;-4;-0,50;6,40;97,40;91,20;2,70;6;99,70;-0,80;-1,20;
2026-07-29 00:36:00.0;OFF;ON;100;-3,20;-4;-0,40;6,40;97,50;91,30;2,80;6;100;-0,70;-1,10;
2026-07-29 00:37:00.0;OFF;ON;100;-3,10;-4;-0,40;6,40;97,70;91,40;2,70;6;100;-0,70;-1,10;
2026-07-29 00:38:00.0;OFF;ON;100;-3;-4;-0,40;6,40;97,70;91,40;2,70;6;99,70;-0,70;-1,10;
2026-07-29 00:39:00.0;OFF;ON;100;-3;-4;-0,40;6,40;97,70;91,50;2,70;6;100;-0,70;-1,10;
2026-07-29 00:40:00.0;OFF;ON;100;-3;-4;-0,30;6,40;97,70;91,50;2,70;6;100;-0,70;-1;
2026-07-29 00:41:00.0;OFF;ON;100;-3;-4;-0,40;6,30;97,80;91,70;2,70;6;100;-0,70;-1;
2026-07-29 00:42:00.0;OFF;ON;100;-3,10;-4;-0,30;6,30;97,70;91,40;2,80;6;99,70;-0,70;-1;
2026-07-29 00:43:00.0;OFF;ON;100;-3;-4;-0,30;6,30;97,70;91,50;2,70;6;99,70;-0,70;-1;
2026-07-29 00:44:00.0;OFF;ON;100;-3,10;-4;-0,30;6,20;97,60;91,50;2,80;6;100;-0,70;-1;
2026-07-29 00:45:00.0;OFF;ON;100;-3;-4;-0,30;6,20;97,60;91,50;2,70;6;99,70;-0,70;-1;
2026-07-29 00:46:00.0;OFF;ON;100;-3,10;-4;-0,30;6,20;97,50;91,50;2,80;6;99,80;-0,70;-1;
2026-07-29 00:47:00.0;OFF;ON;100;-3,10;-4;-0,30;6,10;97,40;91,50;2,80;6;100;-0,70;-1;
2026-07-29 00:48:00.0;OFF;ON;100;-3,10;-4;-0,30;6,10;97,40;91,50;2,80;6;100;-0,70;-1;
2026-07-29 00:49:00.0;OFF;ON;100;-3,10;-4;-0,30;6,10;97,40;91,40;2,70;6;100;-0,70;-1;
