CamCarcacas2;
2026-06-17 00:00;2026-06-18 00:00;
12144 Frigorífico Thoms;
ayron.costa;
" ";CPCO 51 - Câmara de carcaças - Controle de temperatura 1;CPCO 51 - Câmara de carcaças - Controle de temperatura 1;CPCO 51 - Câmara de carcaças - Controle de temperatura 1;CPCO 51 - Câmara de carcaças - Controle de temperatura 1;CPCO 51 - Câmara de carcaças - Controle de temperatura 1;CPCO 51 - Câmara de carcaças - Controle de temperatura 1;CPCO 52 - Câmara de carcaças - Controle de temperatura 2;CPCO 52 - Câmara de carcaças - Controle de temperatura 2;CPCO 53 - Balança;CPCO 51 - Câmara de carcaças - Controle de temperatura 1;CPCO 51 - Câmara de carcaças - Controle de temperatura 1;CPCO 51 - Câmara de carcaças - Controle de temperatura 1;CPCO 51 - Câmara de carcaças - Controle de temperatura 1;CPCO 54 - Câmara de carcaças - Controle de temperatura 3;
" ";Carregamento;Resfriamento;Saida Y1 - Ventiladores EC;Temp entrada glicol;Temp ref;Temp retorno ar;Temperatuda espeto;Umidade relativa da camara;Peso atual;DT Atual;DT ref;Cap Atual Valvula;Temp retorno ar M1A08;Temp Insuf de ar M1A08;" ";
2026-06-17 00:00:00.0;OFF;ON;100;-2,20;-2,40;1,10;12,30;95,20;102,10;3,20;3,50;77,90;0,90;0,30;
2026-06-17 00:01:00.0;OFF;ON;100;-2,20;-2,50;1;12,30;95,20;102,10;3,30;3,50;78;0,90;0,30;
2026-06-17 00:02:00.0;OFF;ON;100;-2,40;-2,50;1;12,20;95,10;102,10;3,40;3,50;77,50;0,80;0,20;
2026-06-17 00:03:00.0;OFF;ON;100;-2,10;-2,50;1;12,20;95,10;102,10;3,10;3,50;79,10;0,80;0,20;
2026-06-17 00:04:00.0;OFF;ON;100;-2,50;-2,50;1;12,20;95,10;102,10;3,50;3,50;77,10;0,80;0,20;
2026-06-17 00:05:00.0;OFF;ON;100;-2,50;-2,50;1;12,20;95,10;102,10;3,50;3,50;78;0,80;0,20;
2026-06-17 00:06:00.0;OFF;ON;100;-2,50;-2,50;1;12,20;95,10;102,10;3,40;3,50;77,80;0,80;0,10;
2026-06-17 00:07:00.0;OFF;ON;100;-2,60;-2,60;0,90;12,10;95;102,10;3,50;3,50;77,70;0,80;0,10;
2026-06-17 00:08:00.0;OFF;ON;100;-2,60;-2,60;0,90;12,10;94,90;102,10;3,50;3,50;77,90;0,80;0,10;
2026-06-17 00:09:00.0;OFF;ON;100;-2,50;-2,60;0,90;12,10;95;102,10;3,40;3,50;78,20;0,70;0;
2026-06-17 00:10:00.0;OFF;ON;100;-2,50;-2,60;0,90;12;95;102,10;3,40;3,50;78,50;0,70;0;
2026-06-17 00:11:00.0;OFF;ON;100;-2,50;-2,60;0,90;12;94,90;102,10;3,40;3,50;78,80;0,70;0,10;
2026-06-17 00:12:00.0;OFF;ON;100;-3,50;-2,60;0,90;12;95;102,10;4,40;3,50;72,20;0,70;0,10;
2026-06-17 00:13:00.0;OFF;ON;100;-3,10;-2,60;0,90;12;95,10;102,10;4,10;3,50;73,10;0,70;0,10;
2026-06-17 00:14:00.0;OFF;ON;100;-3;-2,60;0,90;12;95,10;102,10;3,90;3,50;73,30;0,70;0;
2026-06-17 00:15:00.0;OFF;ON;100;-3,40;-2,60;0,90;11,90;95,10;102,10;4,30;3,50;69,80;0,70;0;
2026-06-17 00:16:00.0;OFF;ON;100;-3,30;-2,60;0,90;11,90;95;102,10;4,20;3,50;69,70;0,70;0;
2026-06-17 00:17:00.0;OFF;ON;100;-2,10;-2,60;0,90;11,90;95;102,10;3;3,50;73,50;0,70;0;
2026-06-17 00:18:00.0;OFF;ON;100;-1,90;-2,60;0,90;11,80;95,20;102,10;2,70;3,50;76,50;0,70;0;
2026-06-17 00:19:00.0;OFF;ON;100;-2,20;-2,70;0,80;11,80;95;102,10;3,10;3,50;75,30;0,60;0;
2026-06-17 00:20:00.0;OFF;ON;100;-1,80;-2,60;0,90;11,80;95,20;102,10;2,70;3,50;77,70;0,70;0,10;
2026-06-17 00:21:00.0;OFF;ON;100;-2,30;-2,60;0,90;11,80;95,20;102,10;3,20;3,50;76,40;0,70;0,10;
2026-06-17 00:22:00.0;OFF;ON;100;-3,50;-2,60;0,90;11,80;95,20;102,10;4,40;3,50;69,50;0,70;0,10;
2026-06-17 00:23:00.0;OFF;ON;100;-3,40;-2,60;0,90;11,80;95,30;102,10;4,40;3,50;68,10;0,70;0,10;
2026-06-17 00:24:00.0;OFF;ON;100;-3;-2,60;0,90;11,70;95,30;102,10;3,90;3,50;70;0,70;0,10;
2026-06-17 00:25:00.0;OFF;ON;100;-3,40;-2,60;0,90;11,70;95,40;102,10;4,30;3,50;66,90;0,70;0,10;
2026-06-17 00:26:00.0;OFF;ON;100;-2,70;-2,60;0,90;11,70;95,40;102,10;3,60;3,50;69,10;0,70;0,10;
2026-06-17 00:27:00.0;OFF;ON;100;-2;-2,60;0,90;11,70;95,30;102,10;2,90;3,50;73,80;0,70;0,10;
2026-06-17 00:28:00.0;OFF;ON;100;-1,90;-2,60;0,90;11,60;95,30;102,10;2,80;3,50;75,20;0,70;0;
2026-06-17 00:29:00.0;OFF;ON;100;-1,80;-2,70;0,80;11,60;95,20;102,10;2,70;3,50;77,60;0,60;0;
2026-06-17 00:30:00.0;OFF;ON;100;-1,80;-2,60;0,90;11,60;95,30;102,10;2,70;3,50;78,10;0,70;0,10;
2026-06-17 00:31:00.0;OFF;ON;100;-1,50;-2,50;1;11,60;95,60;102,10;2,50;3,50;81,30;0,80;0,30;
2026-06-17 00:32:00.0;OFF;ON;100;-1,50;-2,50;1;11,60;95,70;102;2,50;3,50;82;0,80;0,40;
2026-06-17 00:33:00.0;OFF;ON;100;-1,70;-2,50;1;11,50;95,70;102;2,70;3,50;82,20;0,80;0,40;
2026-06-17 00:34:00.0;OFF;ON;100;-1,40;-2,50;1;11,50;95,70;102;2,40;3,50;85;0,80;0,40;
2026-06-17 00:35:00.0;OFF;ON;100;-1,50;-2,50;1;11,50;95,70;102;2,50;3,50;85,70;0,80;0,40;
2026-06-17 00:36:00.0;OFF;ON;100;-1,40;-2,50;1;11,40;95,70;102;2,40;3,50;88,80;0,80;0,40;
2026-06-17 00:37:00.0;OFF;ON;100;-1,90;-2,50;1;11,40;95,70;102;2,90;3,50;86,70;0,80;0,40;
2026-06-17 00:38:00.0;OFF;ON;100;-1,30;-2,50;1;11,40;95,70;102;2,40;3,50;91,60;0,80;0,40;
2026-06-17 00:39:00.0;OFF;ON;100;-2,40;-2,50;1;11,40;95,70;102;3,40;3,50;87,10;0,80;0,40;
2026-06-17 00:40:00.0;OFF;ON;100;-1,20;-2,50;1;11,40;95,70;102,10;2,30;3,50;95,40;0,80;0,40;
2026-06-17 00:41:00.0;OFF;ON;100;-1,40;-2,40;1,10;11,40;95,70;102,10;2,50;3,50;95;0,80;0,40;
2026-06-17 00:42:00.0;OFF;ON;100;-1,10;-2,40;1,10;11,30;95,80;102,30;2,20;3,50;98,70;0,80;0,50;
2026-06-17 00:43:00.0;OFF;ON;100;-1,10;-2,30;1,20;11,30;95,80;102,10;2,30;3,50;99,60;0,80;0,40;
2026-06-17 00:44:00.0;OFF;ON;100;-1,10;-2,30;1,20;11,30;95,80;102,10;2,30;3,50;99,70;0,90;0,50;
2026-06-17 00:45:00.0;OFF;ON;100;-1,30;-2,30;1,20;11,30;95,80;102,10;2,50;3,50;98,70;0,90;0,40;
2026-06-17 00:46:00.0;OFF;ON;100;-1,90;-2,30;1,20;11,20;95,80;102,10;3,10;3,50;95,80;0,90;0,50;
2026-06-17 00:47:00.0;OFF;ON;100;-0,90;-2,30;1,20;11,20;95,90;101,90;2,10;3,50;99,70;0,90;0,50;
2026-06-17 00:48:00.0;OFF;ON;100;-1,20;-2,30;1,20;11,20;95,90;102,20;2,40;3,50;98,60;0,90;0,50;
2026-06-17 00:49:00.0;OFF;ON;100;-1;-2,30;1,20;11,20;95,90;102;2,20;3,50;100;0,90;0,50;
2026-06-17 00:50:00.0;OFF;ON;100;-1,10;-2,30;1,20;11,10;95,90;102;2,30;3,50;98,70;0,90;0,50;
2026-06-17 00:51:00.0;OFF;ON;100;-1,20;-2,30;1,20;11,10;95,80;102;2,40;3,50;99,10;0,90;0,50;
2026-06-17 00:52:00.0;OFF;ON;100;-1,10;-2,30;1,20;11,10;95,80;102;2,40;3,50;98,60;0,90;0,50;
2026-06-17 00:53:00.0;OFF;ON;100;-1,10;-2,30;1,20;11,10;95,80;102;2,30;3,50;100;0,90;0,50;
2026-06-17 00:54:00.0;OFF;ON;100;-0,90;-2,30;1,20;11;95,80;102;2,10;3,50;100;0,90;0,50;
2026-06-17 00:55:00.0;OFF;ON;100;-1,90;-2,30;1,20;11;95,80;102;3,10;3,50;95,30;0,90;0,50;
2026-06-17 00:56:00.0;OFF;ON;100;-1;-2,30;1,20;11;95,80;102,10;2,20;3,50;100;0,90;0,60;
2026-06-17 00:57:00.0;OFF;ON;100;-1,30;-2,30;1,20;11;95,70;102;2,50;3,50;98,20;0,90;0,50;
2026-06-17 00:58:00.0;OFF;ON;100;-1,10;-2,30;1,20;10,90;95,80;102;2,30;3,50;100;0,90;0,50;
2026-06-17 00:59:00.0;OFF;ON;100;-0,80;-2,30;1,20;10,90;95,70;102;2,10;3,50;100;0,90;0,50;
