CamCarcacas2;
2026-06-24 00:00;2026-06-25 00:00;
12144 Frigorífico Thoms;
ayron.costa;
" ";CPCO 51 - Câmara de carcaças - Controle de temperatura 1;CPCO 51 - Câmara de carcaças - Controle de temperatura 1;CPCO 51 - Câmara de carcaças - Controle de temperatura 1;CPCO 51 - Câmara de carcaças - Controle de temperatura 1;CPCO 51 - Câmara de carcaças - Controle de temperatura 1;CPCO 51 - Câmara de carcaças - Controle de temperatura 1;CPCO 52 - Câmara de carcaças - Controle de temperatura 2;CPCO 52 - Câmara de carcaças - Controle de temperatura 2;CPCO 53 - Balança;CPCO 51 - Câmara de carcaças - Controle de temperatura 1;CPCO 51 - Câmara de carcaças - Controle de temperatura 1;CPCO 51 - Câmara de carcaças - Controle de temperatura 1;CPCO 51 - Câmara de carcaças - Controle de temperatura 1;CPCO 54 - Câmara de carcaças - Controle de temperatura 3;
" ";Carregamento;Resfriamento;Saida Y1 - Ventiladores EC;Temp entrada glicol;Temp ref;Temp retorno ar;Temperatuda espeto;Umidade relativa da camara;Peso atual;DT Atual;DT ref;Cap Atual Valvula;Temp retorno ar M1A08;Temp Insuf de ar M1A08;" ";
2026-06-24 00:00:00.0;OFF;ON;100;-1,80;-1,90;1,60;8,60;94,80;114,10;3,40;3,50;76;1,50;0,70;
2026-06-24 00:01:00.0;OFF;ON;100;-1,90;-1,90;1,60;8,60;94,80;114,10;3,50;3,50;75,70;1,40;0,60;
2026-06-24 00:02:00.0;OFF;ON;100;-2;-2;1,50;8,50;94,80;114,10;3,50;3,50;75;1,40;0,60;
2026-06-24 00:03:00.0;OFF;ON;100;-1,70;-2;1,50;8,50;94,90;114,10;3,20;3,50;77,40;1,40;0,60;
2026-06-24 00:04:00.0;OFF;ON;100;-1,80;-2;1,50;8,50;94,90;114,10;3,40;3,50;77;1,40;0,60;
2026-06-24 00:05:00.0;OFF;ON;100;-2,80;-2;1,50;8,50;94,90;114,10;4,30;3,50;70,80;1,40;0,60;
2026-06-24 00:06:00.0;OFF;ON;100;-1,70;-2;1,50;8,50;94,70;114,10;3,20;3,50;78,10;1,30;0,40;
2026-06-24 00:07:00.0;OFF;ON;100;-1,80;-2;1,50;8,40;94,80;114,10;3,20;3,50;77,90;1,30;0,50;
2026-06-24 00:08:00.0;OFF;ON;100;-1,90;-2;1,50;8,40;94,80;114,10;3,40;3,50;77,30;1,30;0,50;
2026-06-24 00:09:00.0;OFF;ON;100;-2,60;-2;1,50;8,40;94,90;114,10;4,10;3,50;72,70;1,30;0,50;
2026-06-24 00:10:00.0;OFF;ON;100;-1,80;-2;1,50;8,40;94,90;114,10;3,20;3,50;78,10;1,30;0,40;
2026-06-24 00:11:00.0;OFF;ON;100;-1,90;-2,10;1,40;8,40;94,80;114,10;3,30;3,50;77,90;1,20;0,40;
2026-06-24 00:12:00.0;OFF;ON;100;-2,10;-2,10;1,40;8,40;94,80;114,10;3,50;3,50;76,20;1,20;0,40;
2026-06-24 00:13:00.0;OFF;ON;100;-2;-2,10;1,40;8,30;94,80;114,10;3,40;3,50;77,40;1,20;0,40;
2026-06-24 00:14:00.0;OFF;ON;100;-1,70;-2,10;1,40;8,30;94,90;114,10;3,10;3,50;79,40;1,20;0,40;
2026-06-24 00:15:00.0;OFF;ON;100;-1,80;-2,10;1,40;8,30;94,90;114,10;3,20;3,50;78,80;1,20;0,30;
2026-06-24 00:16:00.0;OFF;ON;100;-2,10;-2,10;1,30;8,30;94,80;114;3,50;3,50;76,70;1,20;0,30;
2026-06-24 00:17:00.0;OFF;ON;100;-2;-2,20;1,30;8,30;94,80;114;3,30;3,50;78,30;1,20;0,40;
2026-06-24 00:18:00.0;OFF;ON;100;-2,60;-2,20;1,30;8,20;94,80;114;3,90;3,50;74,20;1,20;0,40;
2026-06-24 00:19:00.0;OFF;ON;100;-4,60;-2,20;1,40;8,20;95,10;114;6;3,50;59,10;1,20;0,50;
2026-06-24 00:20:00.0;OFF;ON;100;-1,10;-2,10;1,30;8,20;95,10;114;2,50;3,50;80,70;1,10;0,20;
2026-06-24 00:21:00.0;OFF;ON;100;-2,20;-2,20;1,30;8,20;94,90;114;3,50;3,50;74,40;1,20;0,50;
2026-06-24 00:22:00.0;OFF;ON;100;-1,30;-2,10;1,50;8,20;95,30;114;2,80;3,50;79,70;1,30;0,70;
2026-06-24 00:23:00.0;OFF;ON;100;-1,70;-2;1,50;8,10;95,50;114;3,20;3,50;77,70;1,30;0,70;
2026-06-24 00:24:00.0;OFF;ON;100;-2;-2;1,50;8,10;95,70;114;3,60;3,50;75,30;1,40;0,80;
2026-06-24 00:25:00.0;OFF;ON;100;-1,90;-1,90;1,60;8,10;95,70;114;3,40;3,50;76,40;1,40;0,80;
2026-06-24 00:26:00.0;OFF;ON;100;-1,50;-2;1,50;8,10;95,70;114;3;3,50;79,80;1,40;0,80;
2026-06-24 00:27:00.0;OFF;ON;100;-1,70;-2;1,60;8,10;95,70;114;3,20;3,50;78,60;1,40;0,80;
2026-06-24 00:28:00.0;OFF;ON;100;-2;-1,90;1,60;8,10;95,70;114;3,50;3,50;77,30;1,40;0,80;
2026-06-24 00:29:00.0;OFF;ON;100;-3,30;-2;1,50;8;95,70;114;4,80;3,50;65,90;1,30;0,80;
2026-06-24 00:30:00.0;OFF;ON;100;-2,90;-2;1,50;8;95,60;114;4,40;3,50;67;1,30;0,70;
2026-06-24 00:31:00.0;OFF;ON;100;-1,80;-2;1,40;8;95,40;114;3,30;3,50;74,70;1,20;0,50;
2026-06-24 00:32:00.0;OFF;ON;100;-2;-2,10;1,40;8;95,20;114;3,40;3,50;73,90;1,20;0,60;
2026-06-24 00:33:00.0;OFF;ON;100;-3;-2,10;1,40;8;95,20;114;4,40;3,50;67,40;1,20;0,50;
2026-06-24 00:34:00.0;OFF;ON;100;-1,90;-2,20;1,30;7,90;95,10;114;3,20;3,50;75,10;1,20;0,40;
2026-06-24 00:35:00.0;OFF;ON;100;-2,20;-2,20;1,30;7,90;94,90;114;3,50;3,50;73,20;1,10;0,50;
2026-06-24 00:36:00.0;OFF;ON;100;-1,80;-2,20;1,30;7,90;95;114;3,10;3,50;76,20;1,10;0,50;
2026-06-24 00:37:00.0;OFF;ON;100;-1,80;-2,20;1,30;7,90;95;114;3,10;3,50;76,80;1,10;0,50;
2026-06-24 00:38:00.0;OFF;ON;100;-1,80;-2,20;1,30;7,90;95,10;114;3,10;3,50;76,20;1,10;0,50;
2026-06-24 00:39:00.0;OFF;ON;100;-1,80;-2,20;1,30;7,80;95;114;3;3,50;77;1,10;0,40;
2026-06-24 00:40:00.0;OFF;ON;100;-2,10;-2,30;1,20;7,80;94,90;114;3,30;3,50;75,40;1,10;0,40;
2026-06-24 00:41:00.0;OFF;ON;100;-1,80;-2,30;1,20;7,80;94,90;114;3,10;3,50;77,40;1,10;0,40;
2026-06-24 00:42:00.0;OFF;ON;100;-2,80;-2,30;1,20;7,80;94,90;114;4,10;3,50;71,30;1;0,40;
2026-06-24 00:43:00.0;OFF;ON;100;-2,20;-2,30;1,20;7,80;95;114;3,40;3,50;75;1;0,40;
2026-06-24 00:44:00.0;OFF;ON;100;-2,30;-2,30;1,20;7,70;94,90;114;3,50;3,50;75,30;1;0,30;
