CamCarcacas2;
2026-06-05 00:00;2026-06-06 00:00;
12144 Frigorífico Thoms;
ayron.costa;
" ";CPCO 51 - Câmara de carcaças - Controle de temperatura 1;CPCO 51 - Câmara de carcaças - Controle de temperatura 1;CPCO 51 - Câmara de carcaças - Controle de temperatura 1;CPCO 51 - Câmara de carcaças - Controle de temperatura 1;CPCO 51 - Câmara de carcaças - Controle de temperatura 1;CPCO 51 - Câmara de carcaças - Controle de temperatura 1;CPCO 52 - Câmara de carcaças - Controle de temperatura 2;CPCO 52 - Câmara de carcaças - Controle de temperatura 2;CPCO 53 - Balança;CPCO 51 - Câmara de carcaças - Controle de temperatura 1;CPCO 51 - Câmara de carcaças - Controle de temperatura 1;CPCO 51 - Câmara de carcaças - Controle de temperatura 1;CPCO 51 - Câmara de carcaças - Controle de temperatura 1;CPCO 54 - Câmara de carcaças - Controle de temperatura 3;
" ";Carregamento;Resfriamento;Saida Y1 - Ventiladores EC;Temp entrada glicol;Temp ref;Temp retorno ar;Temperatuda espeto;Umidade relativa da camara;Peso atual;DT Atual;DT ref;Cap Atual Valvula;Temp retorno ar M1A08;Temp Insuf de ar M1A08;" ";
2026-06-05 00:00:00.0;OFF;ON;50;-3,30;-4;-2,20;-5,40;93,70;0;1,10;9,50;99,60;-2,20;-2,60;
2026-06-05 00:01:00.0;OFF;ON;50;-3,40;-4;-2,20;-5,40;93,80;0;1,20;9,50;99,40;-2,20;-2,50;
2026-06-05 00:02:00.0;OFF;ON;50;-3,30;-4;-2,20;-5,40;93,70;0;1,10;9,50;100;-2,20;-2,50;
2026-06-05 00:03:00.0;OFF;ON;50;-3,30;-4;-2,20;-5,40;93,80;0;1,10;9,50;99,40;-2,20;-2,50;
2026-06-05 00:04:00.0;OFF;ON;50;-3,20;-4;-2,20;-5,40;93,80;0;1;9,50;100;-2,20;-2,50;
2026-06-05 00:05:00.0;OFF;ON;50;-3,30;-4;-2,20;-5,40;93,70;0;1,10;9,50;100;-2,20;-2,50;
2026-06-05 00:06:00.0;OFF;ON;50;-3,20;-4;-2,20;-5,40;93,70;0;1;9,50;100;-2,20;-2,50;
2026-06-05 00:07:00.0;OFF;ON;50;-3,30;-4;-2,20;-5,40;93,80;0;1,10;9,50;100;-2,20;-2,50;
2026-06-05 00:08:00.0;OFF;ON;50;-3,50;-4;-2,20;-5,30;93,80;0;1,30;9,50;99,20;-2,20;-2,50;
2026-06-05 00:09:00.0;OFF;ON;50;-3,50;-4;-2,20;-5,30;93,80;0;1,30;9,50;99,50;-2,20;-2,50;
2026-06-05 00:10:00.0;OFF;ON;50;-3,10;-4;-2,20;-5,40;93,80;0;0,90;9,50;100;-2,20;-2,60;
2026-06-05 00:11:00.0;OFF;ON;50;-3,40;-4;-2,20;-5,40;93,70;0;1,20;9,50;99,30;-2,20;-2,60;
2026-06-05 00:12:00.0;OFF;ON;50;-3,20;-4;-2,20;-5,40;93,70;0;1;9,50;100;-2,20;-2,60;
2026-06-05 00:13:00.0;OFF;ON;50;-3,30;-4;-2,20;-5,30;93,70;0;1;9,50;100;-2,20;-2,60;
2026-06-05 00:14:00.0;OFF;ON;50;-3,30;-4;-2,20;-5,40;93,70;0;1,10;9,50;99,80;-2,20;-2,60;
2026-06-05 00:15:00.0;OFF;ON;50;-3,30;-4;-2,20;-5,30;93,80;0;1,10;9,50;99,80;-2,20;-2,50;
2026-06-05 00:16:00.0;OFF;ON;50;-3,20;-4;-2,20;-5,40;93,80;0;1;9,50;100;-2,20;-2,50;
2026-06-05 00:17:00.0;OFF;ON;50;-3,20;-4;-2,20;-5,40;93,80;0;1;9,50;100;-2,20;-2,50;
2026-06-05 00:18:00.0;OFF;ON;50;-3,30;-4;-2,20;-5,40;93,80;0;1,10;9,50;99,60;-2,20;-2,50;
2026-06-05 00:19:00.0;OFF;ON;50;-3,30;-4;-2,20;-5,40;93,80;0;1,10;9,50;99,70;-2,20;-2,50;
2026-06-05 00:20:00.0;OFF;ON;50;-3,30;-4;-2,20;-5,40;93,80;0;1,10;9,50;99,80;-2,20;-2,50;
2026-06-05 00:21:00.0;OFF;ON;50;-3,40;-4;-2,20;-5,40;93,80;0;1,20;9,50;99,40;-2,20;-2,50;
2026-06-05 00:22:00.0;OFF;ON;50;-3,40;-4;-2,20;-5,40;93,80;0;1,30;9,50;99,80;-2,20;-2,50;
2026-06-05 00:23:00.0;OFF;ON;50;-3,70;-4;-2,20;-5,30;93,80;0;1,50;9,50;99;-2,20;-2,60;
2026-06-05 00:24:00.0;OFF;ON;50;-3,30;-4;-2,20;-5,40;93,80;0;1,10;9,50;99,20;-2,20;-2,60;
2026-06-05 00:25:00.0;OFF;ON;50;-3,50;-4;-2,20;-5,40;93,70;0;1,30;9,50;99,20;-2,20;-2,60;
